t,eyebrows_interp,pitch
0.988,-0.1626212458790708,
0.99,-0.15357331685349807,
0.992,-0.1445253878279253,
0.994,-0.13547745880235257,
0.996,-0.12642952977677982,
0.998,-0.11738160075120704,
1.0,-0.1083336717256343,
1.002,-0.08636012980639467,
1.004,-0.06438658788715504,
1.006,-0.042413045967915425,
1.008,-0.020439504048675797,
1.01,0.0015340378705638313,
1.012,0.023507579789803446,
1.014,0.04548112170904306,
1.016,0.0674546636282827,
1.018,0.08942820554752232,
1.02,0.11140174746676196,
1.022,0.13337528938600157,
1.024,0.1553488313052412,
1.026,0.1773223732244808,
1.028,0.19929591514372041,
1.03,0.22126945706296008,
1.032,0.2432429989821997,
1.034,0.2544451968233835,
1.036,0.24410470650845212,
1.038,0.23376421619352072,
1.04,0.22342372587858933,
1.042,0.21308323556365794,
1.044,0.20274274524872654,
1.046,0.19240225493379515,
1.048,0.18206176461886373,
1.05,0.17172127430393233,
1.052,0.1613807839890009,
1.054,0.15104029367406951,
1.056,0.14069980335913812,
1.058,0.13035931304420673,
1.06,0.12001882272927533,
1.062,0.10967833241434394,
1.064,0.09933784209941254,
1.066,0.08899735178448112,
1.068,0.09158247436321743,
1.07,0.10063040338878647,
1.072,0.10967833241435551,
1.074,0.11872626143992455,
1.076,0.1277741904654936,
1.078,0.13682211949106263,
1.08,0.14587004851663168,
1.082,0.1549179775422007,
1.084,0.16396590656776977,
1.086,0.1730138355933388,
1.088,0.18206176461890783,
1.09,0.19110969364447689,
1.092,0.20015762267004594,
1.094,0.20920555169561494,
1.096,0.218253480721184,
1.098,0.22730140974675306,
1.1,0.2363493387723221,
1.102,0.23505677748295611,
1.104,0.23376421619359017,
1.106,0.2324716549042242,
1.108,0.23117909361485825,
1.11,0.22988653232549228,
1.112,0.2285939710361263,
1.114,0.22730140974676036,
1.116,0.22600884845739438,
1.118,0.22471628716802844,
1.12,0.22342372587866247,
1.122,0.2221311645892965,
1.124,0.22083860329993055,
1.126,0.2195460420105647,
1.128,0.21825348072119877,
1.13,0.2169609194318328,
1.132,0.21566835814246682,
1.134,0.21954604201056657,
1.136,0.23376421619359944,
1.138,0.2479823903766323,
1.14,0.2622005645596652,
1.142,0.27641873874269807,
1.144,0.2906369129257309,
1.146,0.30485508710876374,
1.148,0.31907326129179664,
1.15,0.33329143547482953,
1.152,0.3475096096578624,
1.154,0.3617277838408952,
1.156,0.3759459580239281,
1.158,0.390164132206961,
1.16,0.40438230638999384,
1.162,0.4186004805730267,
1.164,0.4328186547560596,
1.166,0.44703682893909247,
1.168,0.4457442676497282,
1.17,0.43669633862416274,
