eyebrow,pitch
0.2104745022710991,0.6730405220963194
0.2195225361455925,0.6600167201734951
0.2285705700200839,0.6457100718333414
0.2376186038945773,0.6294496472547507
0.2466666377690687,0.6110652718226598
0.2557146716435622,0.5908485164011998
0.2647627055180536,0.5694394198574187
0.273810739392547,0.5475986466419894
0.2828587732670384,0.5259759733015756
0.2919068071415318,0.5050742372224677
0.3009548410160232,0.4850950946563442
0.3069868635990213,0.4658632728804597
0.3069868635990268,0.446982287954631
0.3069868635990324,0.42801659894617633
0.3069868635990379,0.40879302554427543
0.3069868635990433,0.3893343660594423
0.3069868635990488,0.36970082694900414
0.3069868635990544,0.349828668740142
0.3069868635990599,0.3295227604840999
0.3069868635990654,0.30853339052112877
0.3069868635990709,0.28661529841776656
0.3069868635990764,0.2635803664341709
0.3069868635990819,0.23927782797657407
0.3069868635990874,0.2136392251348975
0.3069868635990929,0.18653764454089763
0.3069868635990984,0.1576352213439764
0.306986863599104,0.12629088006587247
0.3069868635991095,0.09185898075385873
0.3091411573787517,0.053841092805686504
0.312372598048213,0.012682745037972176
0.3156040387176736,-0.02977969489838654
0.3188354793871349,-0.07074582364074943
0.3220669200565956,-0.10754088740278078
0.3252983607260569,-0.13893974316294397
0.3285298013955175,-0.1660346364113562
0.3317612420649788,-0.1915194351289312
0.3349926827344394,-0.21862644974585183
0.3382241234039007,-0.2506108163406434
0.3414555640733613,-0.290660029500836
0.3446870047428226,-0.3413758095872137
0.3479184454122833,-0.4039468273385034
0.3511498860817446,-0.476011092099353
0.3543813267512052,-0.5505279176714166
0.3576127674206665,-0.6182488561317734
0.3608442080901271,-0.6722253109783195
0.3621367843579116,-0.7114930247811522
0.3634293606256958,-0.7400456290748727
0.3647219368934804,-0.7634896332499168
0.3660145131612646,-0.7858128146266652
0.3673070894290491,-0.8094526502875343
0.3685996656968334,-0.8349009764464923
0.3698922419646179,-0.8603242729219288
0.3711848182324022,-0.8819499050758941
0.3724773945001867,-0.8962546219406465
0.3737699707679709,-0.902000956375766
0.3750625470357555,-0.9001942352901144
0.3763551233035397,-0.8927241096059463
0.3776476995713242,-0.8817727902644475
0.3789402758391084,-0.8689281868316002
0.380232852106893,-0.854602500039885
0.3815254283746772,-0.8387494009277638
0.3836797221543196,-0.8218785685057924
